url,text1,text2
https://kbl.or.kr/match/record/S45G01N84/1,수원 KT,대구 한국가스공사
https://kbl.or.kr/match/record/S45G01N85/1,서울 SK,울산 현대모비스
https://kbl.or.kr/match/record/S45G01N86/1,부산 KCC,창원 LG
https://kbl.or.kr/match/record/S45G01N87/1,안양 정관장,고양 소노
https://kbl.or.kr/match/record/S45G01N88/1,서울 SK,서울 삼성
https://kbl.or.kr/match/record/S45G01N89/1,원주 DB,수원 KT
https://kbl.or.kr/match/record/S45G01N90/1,창원 LG,서울 삼성
https://kbl.or.kr/match/record/S45G01N91/1,고양 소노,수원 KT
https://kbl.or.kr/match/record/S45G01N92/1,울산 현대모비스,서울 삼성
https://kbl.or.kr/match/record/S45G01N93/1,원주 DB,안양 정관장
https://kbl.or.kr/match/record/S45G01N94/1,창원 LG,부산 KCC
https://kbl.or.kr/match/record/S45G01N95/1,수원 KT,대구 한국가스공사
https://kbl.or.kr/match/record/S45G01N96/1,고양 소노,서울 삼성
https://kbl.or.kr/match/record/S45G01N97/1,안양 정관장,서울 SK
https://kbl.or.kr/match/record/S45G01N98/1,원주 DB,울산 현대모비스
https://kbl.or.kr/match/record/S45G01N99/1,부산 KCC,대구 한국가스공사
https://kbl.or.kr/match/record/S45G01N100/1,안양 정관장,창원 LG
https://kbl.or.kr/match/record/S45G01N101/1,원주 DB,수원 KT
