Game URL,Quarter,Time,Left Event,Right Event
Q1,10:00,,한희원 교체(IN),
Q1,10:00,,하윤기 교체(IN),
Q1,10:00,이승현 교체(IN),,
Q1,10:00,전준범 교체(IN),,
Q1,10:00,디온테 버튼 교체(IN),,
Q1,10:00,김동현 교체(IN),,
Q1,10:00,허웅 교체(IN),,
Q2,2쿼터 시작,,,
Q2,0:00,,레이션 해먼즈 교체(OUT),
Q2,0:00,,문정현 교체(OUT),
Q2,0:00,,최창진 교체(OUT),
Q2,0:00,,한희원 교체(OUT),
Q2,0:00,,하윤기 교체(OUT),
Q2,0:00,여준형 교체(OUT),,
Q2,0:00,디온테 버튼 교체(OUT),,
Q2,0:00,이주영 교체(OUT),,
Q2,0:00,허웅 교체(OUT),,
Q2,0:00,이호현 교체(OUT),,
Q2,게임종료,,,
Q2,0:01,,하윤기 수비리바운드,
Q2,0:01,디온테 버튼 3점슛시도,,
Q2,0:04,허웅 교체(IN),,
Q2,0:04,정창영 교체(OUT),,
Q2,0:04,,레이션 해먼즈 어시스트,
Q2,0:04,,하윤기 2점슛성공,
Q2,0:13,디온테 버튼 어시스트,,
Q2,0:13,정창영 3점슛성공,,
Q2,0:32,정창영 수비리바운드,,
Q2,0:34,,하윤기 2점슛시도,
Q2,0:36,,하윤기 공격리바운드,
Q2,0:37,,하윤기 2점슛시도,
Q2,0:39,,하윤기 공격리바운드,
Q2,0:40,,하윤기 2점슛시도,
Q2,0:51,디온테 버튼 2점슛성공,,
Q2,1:09,디온테 버튼 수비리바운드,,
Q2,1:11,,한희원 3점슛시도,
Q2,1:24,,레이션 해먼즈 자유투시도,
Q2,1:24,,레이션 해먼즈 자유투성공,
Q2,1:24,전창진,,
Q2,1:24,전창진 기타파울,,
Q2,1:24,전창진 기타파울,,
Q2,1:24,,레이션 해먼즈 수비리바운드,
Q2,1:26,여준형 2점슛시도,,
Q2,1:43,,레이션 해먼즈 자유투성공,
Q2,1:43,,레이션 해먼즈 자유투성공,
Q2,1:43,이주영 교체(IN),,
Q2,1:43,이근휘 교체(OUT),,
Q2,1:43,작전시간,,
Q2,1:43,팀파울,,
Q2,1:43,디온테 버튼 파울자유투,,
Q2,1:55,팀속공,,
Q2,1:57,이호현 2점슛성공,,
Q2,2:01,여준형 수비리바운드,,
Q2,2:05,,레이션 해먼즈 2점슛시도,
Q2,2:23,디온테 버튼 3점슛성공,,
Q2,2:41,,한희원 2점슛성공,
Q2,2:56,이호현 어시스트,,
Q2,2:56,여준형 2점슛성공,,
Q2,3:16,,하윤기 2점슛성공,
Q2,3:35,디온테 버튼 2점슛성공,,
Q2,3:52,,최창진 어시스트,
Q2,3:52,,레이션 해먼즈 2점슛성공,
Q2,3:56,,팀리바운드,
Q2,3:57,,한희원 3점슛시도,
Q2,4:01,팀파울,,
Q2,4:01,여준형 파울,,
Q2,4:12,정창영 어시스트,,
Q2,4:12,이호현 2점슛성공,,
Q2,4:30,디온테 버튼 굿디펜스,,
Q2,4:30,,레이션 해먼즈 턴오버,
Q2,4:30,,팀파울,
Q2,4:30,,레이션 해먼즈 파울,
Q2,4:37,디온테 버튼 2점슛성공,,
Q2,4:50,,레이션 해먼즈 2점슛성공,
Q2,4:53,,레이션 해먼즈 공격리바운드,
Q2,4:54,,레이션 해먼즈 2점슛시도,
Q2,5:02,,최창진 공격리바운드,
Q2,5:04,,레이션 해먼즈 3점슛시도,
Q2,5:20,,최창진 교체(IN),
Q2,5:20,,허훈 교체(OUT),
Q2,5:20,이근휘 교체(IN),,
Q2,5:20,허웅 교체(OUT),,
Q2,5:20,여준형 교체(IN),,
Q2,5:20,이승현 교체(OUT),,
Q2,5:20,,하윤기 교체(IN),
Q2,5:20,,최창진 교체(OUT),
Q2,5:20,,레이션 해먼즈 교체(IN),
Q2,5:20,,제레미아 틸먼 교체(OUT),
Q2,5:20,,최창진 굿디펜스,
Q2,5:20,이승현 턴오버,,
Q2,5:20,팀파울,,
Q2,5:20,이승현 파울,,
Q2,5:25,정창영 수비리바운드,,
Q2,5:27,,최창진 3점슛시도,
Q2,5:41,허웅 어시스트,,
Q2,5:41,디온테 버튼 3점슛성공,,
Q2,5:51,디온테 버튼 수비리바운드,,
Q2,5:52,,허훈 3점슛시도,
Q2,6:15,디온테 버튼 2점슛성공,,
Q2,6:19,디온테 버튼 공격리바운드,,
Q2,6:21,허웅 3점슛시도,,
Q2,6:25,디온테 버튼 수비리바운드,,
Q2,6:27,,허훈 2점슛시도,
Q2,6:41,,허훈 공격리바운드,
Q2,6:42,,문정현 3점슛시도,
Q2,7:02,,최창진 교체(IN),
Q2,7:02,,문성곤 교체(OUT),
Q2,7:02,,작전시간,
Q2,7:02,디온테 버튼 2점슛성공,,
Q2,7:16,디온테 버튼 수비리바운드,,
Q2,7:18,,한희원 3점슛시도,
